year_month;revenue;profit;orders;items;avg_order_value
2023-01;1109142,0;258035,65;774;1071;1433,0
2023-02;1079872,0;285061,68;752;1018;1436,0
2023-03;1363617,0;356094,13;927;1265;1471,0
2023-04;1475255,0;391715,44;1007;1391;1465,0
2023-05;1343772,0;344787,68;916;1170;1467,0
2023-06;1273356,0;332687,58;868;1158;1467,0
2023-07;1285632,0;340698,55;837;1110;1536,0
2023-08;1280562,0;329777,02;893;1177;1434,0
2023-09;1554410,0;409826,73;1087;1452;1430,0
2023-10;1673477,0;426242,28;1181;1683;1417,0
2023-11;2511925,0;469970,04;1703;2225;1475,0
2023-12;2409940,0;522827,08;1612;2254;1495,0
2024-01;1455115,0;335306,93;1007;1275;1445,0
2024-02;1516536,0;400207,45;1071;1428;1416,0
2024-03;1684813,0;431724,54;1189;1615;1417,0
2024-04;1784484,0;464144,2;1209;1668;1476,0
2024-05;1915120,0;505296,7;1294;1793;1480,0
2024-06;1654528,0;436087,67;1124;1562;1472,0
2024-07;1558185,0;413422,44;1095;1459;1423,0
2024-08;1666178,0;431893,53;1142;1515;1459,0
2024-09;1977345,0;507413,65;1359;1893;1455,0
2024-10;2175369,0;564208,61;1491;1999;1459,0
2024-11;3198690,0;564573,02;2154;2771;1485,0
2024-12;2818788,0;587500,53;1932;2499;1459,0
